Recorder,Today's Date,Date ,Time,Phenostage ,Observer,Notes,Native-Type,Stem_Type,Flower_Type,Species
Volunteers,2/25/20,1/11/20,10:40,7,charilethrift,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:27,6,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:21,7,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,11:03,7,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:53,1,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:41,2,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/15/20,14:55,3,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/15/20,14:56,1,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:05,4,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:05,4,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:22,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:23,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:48,7,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:57,1,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:57,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:59,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,9:00,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,11:01,1,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/29/20,10:18,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:19,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:20,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:20,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:23,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:24,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:26,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:39,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:39,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:40,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:42,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,2/1/20,15:56,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,2/1/20,16:02,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,2/1/20,16:47,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:09,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:12,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:20,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:26,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,1/11/20,11:00,1,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:16,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:17,3,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:20,4,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:22,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:19,6,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:30,3,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:30,2,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:39,3,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:37,3,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:40,3,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:39,3,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:55,4,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:25,4,kseltmann,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:27,4,kseltmann,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:32,3,kseltmann,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:09,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:09,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:10,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:11,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:20,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:21,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:21,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/6/20,12:11,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/6/20,12:11,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:19,2,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:20,5,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:21,6,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:24,4,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:26,4,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:45,5,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:54,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:56,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:58,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:59,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:08,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:10,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:14,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:17,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:08,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:20,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:21,5,jaggerjoyner,,native,wood,head,California Brittlebush
