Recorder,Recording Date,Date ,Time,Phenostage ,Observer,Native_Type,Stem_Type,Flower_Type,Species
Volunteers,2/25/20,5/6/19,14:02,5,elizabethortiz1,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/10/19,10:10,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/10/19,10:10,7,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/10/19,15:08,6,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/12/19,16:45,6,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/16/19,16:34,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/24/19,14:29,7,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/31/19,16:29,6,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,6/7/19,16:07,6,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,6/7/19,16:19,6,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,6/7/19,17:05,6,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,6/7/19,15:06,7,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,6/27/19,10:59,6,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,7/19/19,13:04,6,andrewk101,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,7/11/19,16:35,6,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,7/11/19,16:36,6,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,7/11/19,16:36,7,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,8/13/19,14:59,6,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,8/13/19,15:05,6,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,10/12/19,11:09,6,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,10/12/19,11:15,7,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,10/12/19,10:45,7,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,10/19/19,11:05,5,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:24,1,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:26,7,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:29,6,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:42,1,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,10/24/19,16:55,1,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:54,6,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,11/22/19,12:24,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,10/19/19,10:54,7,charilethrift,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,11/24/19,11:15,6,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,11/24/19,11:31,5,charilethrift,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,12/6/19,17:11,4,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,12/6/19,17:12,4,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,12/13/19,9:37,1,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/8/20,15:03,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/8/20,15:04,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:19,7,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:22,7,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:24,5,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:26,5,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:40,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:20,6,charilethrift,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:23,3,charilethrift,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:27,3,charilethrift,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:40,7,charilethrift,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:27,6,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:21,7,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,11:03,7,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:53,1,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:41,2,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/15/20,14:55,3,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/15/20,14:56,1,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:05,4,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:05,4,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:22,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:23,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:48,7,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:57,1,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:57,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:59,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/23/20,9:00,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/11/20,11:01,1,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/29/20,10:18,2,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:19,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:20,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:20,2,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:23,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:24,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:26,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:39,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:39,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:40,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:42,2,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,2/1/20,15:56,2,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,2/1/20,16:02,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,2/1/20,16:47,2,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:09,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:12,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:20,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:26,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,1/11/20,11:00,1,michellelee,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:16,2,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:17,3,michellelee,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:20,4,car0line0,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:22,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:19,6,michellelee,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:30,3,car0line0,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:30,2,michellelee,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:39,3,car0line0,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:37,3,michellelee,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:40,3,car0line0,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:39,3,michellelee,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:55,4,car0line0,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:25,4,kseltmann,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:27,4,kseltmann,native,herbacious,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:32,3,kseltmann,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:09,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:09,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:10,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:11,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:20,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:21,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:21,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/6/20,12:11,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/6/20,12:11,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:19,2,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:20,5,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:21,6,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:24,4,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:26,4,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:45,5,conormcmahon,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:54,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:56,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:58,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:59,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:08,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:10,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:14,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:17,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:08,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:20,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:21,5,jaggerjoyner,native,herbacious,head,California Brittlebush
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:38,4,sarahg9,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:43,4,janninechamorro,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:54,4,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:26,3,charliethrift,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:38,5,charliethrift,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:45,3,charliethrift,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:43,4,katekathrynkat,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,9:39,4,janninechamorro,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,14:28,4,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,14:54,4,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/8/19,14:42,3,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/8/19,14:39,4,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/8/19,14:33,4,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/8/19,14:32,4,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/9/19,18:12,5,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:40,4,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:44,4,demacha,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/11/19,16:41,3,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/11/19,16:42,5,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/11/19,16:43,3,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/13/19,11:18,4,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/13/19,11:39,4,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/17/19,10:37,3,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/19/19,10:12,4,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/24/19,13:15,5,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/22/19,10:53,3,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/26/19,15:05,4,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:27,3,behmarchel,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:18,3,charliethrift,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:43,6,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:44,6,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:56,4,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,11:01,5,fhjoyce,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:58,4,kseltman,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:47,4,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:47,5,elizabethortiz1,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/10/19,10:22,4,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/10/19,10:24,4,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/10/19,10:26,4,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/10/19,15:25,5,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/10/19,15:25,5,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/15/19,10:36,5,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/15/19,15:01,5,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/16/19,16:44,6,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/16/19,16:45,6,jaggerjoyner,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/24/19,14:06,4,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/31/19,16:26,4,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,6/7/19,16:18,4,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,7/2/19,14:31,4,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,7/19/19,13:03:00 AM,5,garbanzobeanboy,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,7/19/19,13:03,5,shiochiba,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,7/19/19,13:28,5,andrewk101,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,7/19/19,13:29,5,garbanzobeanboy,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,7/11/19,16:37,6,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,7/18/19,15:08,6,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,10/12/19,11:55,4,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,10/12/19,12:07,5,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,10/19/19,10:26,1,laurenharris1,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,10/19/19,10:52,4,orange_sunshine,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,10/19/19,11:10,5,katekathrynkat,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,10/19/19,11:06,5,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,10/19/19,11:11,4,joseyj,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/16/19,10:54,5,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/16/19,10:58,5,taylorc,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:13,1,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:14,5,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:15,7,michellelee,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:32,5,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:27,4,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:28,4,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:30,6,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:31,6,avanwinden,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,11/24/19,11:29,6,charliethrift,native,herbacious,single,California Poppy
Volunteers,2/25/20,1/23/20,8:34,7,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,1/29/20,10:04,5,jaggerjoyner,native,herbacious,single,California Poppy
Volunteers,2/25/20,1/29/20,10:05,3,jaggerjoyner,native,herbacious,single,California Poppy
Volunteers,2/25/20,1/31/20,12:13,4,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,1/31/20,12:14,1,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,1/31/20,12:14,1,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,1/31/20,13:37,1,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,1/31/20,13:38,7,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,2/4/20,13:40,1,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,2/4/20,13:41,3,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,2/4/20,13:41,4,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/25/20,2/4/20,13:42,1,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/7/20,12:11,3,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/7/20,2:11,2,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/7/20,12:12,4,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/7/20,12:12,1,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/7/20,12:13,1,avanwinden,native,herbacious,single,California Poppy
Volunteers,2/6/20,1/21/20,10:52,4,taylorc,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:18,4,taylorc,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:18,2,taylorc,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:19,1,taylorc,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:19,5,taylorc,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:20,1,taylorc,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:21,1,taylorc,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:54,4,car0line0,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:57,3,car0line0,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:58,3,car0line0,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:56,4,michellelee,native,herbacious,single,California Poppy
Volunteers,2/6/20,2/9/20,10:38,4,kseltman,native,herbacious,single,California Poppy
Volunteers,4/15/20,2/14/20,14:23,4,jaggerjoyner,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,2/21/20,11:03,4,avanwinden,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,2/21/20,11:03,3,avanwinden,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,2/21/20,11:04,4,avanwinden,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,2/26/20,10:16,4,jaggerjoyner,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,2/27/20,15:41,4,avanwinden,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,2/27/20,15:41,4,avanwinden,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,2/27/20,15:41,3,avanwinden,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,2/27/20,15:42,4,avanwinden,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,3/3/20,9:06,5,jaggerjoyner,native,herbacious,single,California Poppy
"TC,ML,Av",4/28/20,3/3/20,9:07,4,jaggerjoyner,native,herbacious,single,California Poppy
